z          N        Nerr   b        berr    snr    chi   t  name                           comment
2.1621513  12.776   0.026  44.339   7.637   19.77  1.291 c  J003501-091817_v1.dat          -                             
2.1666098  12.757   0.034  33.957   3.171   19.60  1.257 c  J003501-091817_v1.dat          -                             
2.1761167  13.259   0.020  25.805   1.442   18.38  0.957 c  J003501-091817_v1.dat          -                             
2.1770712  13.584   0.023  35.124   2.236   18.15  0.977 l  J003501-091817_v1.dat          -                             
2.1776198  13.826   0.014  30.612   1.128   18.14  1.485 r  J003501-091817_v1.dat          -                             
2.1826997  13.015   0.024  18.158   1.224   17.16  0.600 c  J003501-091817_v1.dat          -                             
2.1856261  12.765   0.043  25.965   2.079   17.86  0.777 c  J003501-091817_v1.dat          -                             
2.1867002  12.902   0.039  20.452   2.180   17.64  0.964 c  J003501-091817_v1.dat          -                             
2.1877279  13.201   0.017  31.126   1.442   17.34  0.435 c  J003501-091817_v1.dat          -                             
2.1893044  14.155   0.033  25.607   0.863   17.56  2.217 c  J003501-091817_v1.dat          -                             
2.1906692  13.840   0.016  34.360   1.523   17.70  1.730 l  J003501-091817_v1.dat          -                             
2.1914457  13.550   0.013  20.455   0.765   17.71  0.691 r  J003501-091817_v1.dat          -                             
2.1921258  12.520   0.180  77.984   3.872   17.89  1.263 c  J003501-091817_v1.dat          -                             
2.1964686  12.649   0.067  30.071   3.605   19.85  0.995 l  J003501-091817_v1.dat          -                             
2.1984694  13.379   0.018  35.245   1.662   19.57  1.085 c  J003501-091817_v1.dat          -                             
2.2021994  12.964   0.035  19.860   1.907   19.09  1.165 c  J003501-091817_v1.dat          -                             
2.2131853  13.066   0.029  25.633   1.995   17.93  0.941 c  J003501-091817_v1.dat          -                             
2.2142955  12.923   0.065  55.367  10.477   17.39  0.894 c  J003501-091817_v1.dat          -                             
2.2171177  14.239   0.032  30.378   1.335   16.98  1.909 b  J003501-091817_v1.dat          -                             
2.2189242  12.904   0.043  27.513   3.188   17.12  0.919 c  J003501-091817_v1.dat          -                             
2.2198851  13.394   0.029  23.013   1.755   17.65  2.642 c  J003501-091817_v1.dat          -                             
2.2367131  13.208   0.030  15.223   1.239   20.44  2.439 c  J003501-091817_v1.dat          -                             
2.2388514  12.592   0.026  37.502   3.567   19.87  1.108 c  J003501-091817_v1.dat          -                             
2.2408790  13.425   0.023  27.104   1.722   19.60  1.883 c  J003501-091817_v1.dat          -                             
2.2458158  12.501   0.178  89.080   3.598   19.70  1.015 c  J003501-091817_v1.dat          -                             
2.2552093  13.787   0.011  31.378   1.021   17.84  0.985 b  J003501-091817_v1.dat          -                             
2.2564660  13.693   0.013  26.343   0.964   17.81  1.201 l  J003501-091817_v1.dat          -                             
2.2575970  13.557   0.021  20.760   1.235   17.80  2.007 r  J003501-091817_v1.dat          -                             
2.2663725  13.262   0.028  45.657   3.468   18.39  1.262 c  J003501-091817_v1.dat          -                             
2.2678627  13.454   0.020  18.584   0.917   18.67  2.022 c  J003501-091817_v1.dat          -                             
2.2689321  13.100   0.041  18.422   1.830   19.21  0.384 l  J003501-091817_v1.dat          -                             
2.2713103  14.471   0.024  42.969   1.245   19.21  1.367 r  J003501-091817_v1.dat          -                             
2.2762476  12.619   0.112  67.021   3.717   19.19  1.036 c  J003501-091817_v1.dat          -                             
2.2772419  14.188   0.022  33.810   0.899   19.07  2.070 c  J003501-091817_v1.dat          -                             
2.2848585  13.075   0.019  20.150   1.038   18.42  0.547 c  J003501-091817_v1.dat          -                             
2.2861036  13.227   0.032  24.791   2.447   18.12  1.475 c  J003501-091817_v1.dat          -                             
2.3002161  13.682   0.010  25.576   0.559   21.09  0.901 c  J003501-091817_v1.dat          -                             
2.3070881  12.821   0.059  37.114   3.143   18.70  1.382 c  J003501-091817_v1.dat          -                             
2.3098411  13.252   0.037  21.006   2.409   16.89  2.141 c  J003501-091817_v1.dat          checked                       
2.3130596  13.298   0.033  46.706   4.126   14.64  1.277 c  J003501-091817_v1.dat          -                             
2.3531041  14.308   0.071  19.494   1.247   16.06  1.008 l  J003501-091817_v1.dat          checked
