name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J010821+062327      	 -.-.-     	 UVES      	   1.960	    3056	    3550	   1.514	   1.921	    30	 49800	     0	 -                                                                                                   
J011143-350300      	 -.-.-     	 UVES      	   2.410	    3521	    4090	   1.896	   2.365	    103	 49800	     0	 +                                                                                                   
J011453+031457      	 -.-.-     	 UVES      	   2.810	    3934	    4570	   2.236	   2.759	    12	 49800	     0	 -                                                                                                   
J011504-302514      	 -.-.-     	 UVES      	   2.985	    4115	    4780	   2.385	   2.932	    11	 49800	     0	 -                                                                                                   
J011517-012704      	 -.-.-     	 UVES      	   1.371	    2448	    2844	   1.014	   1.339	     4	 49800	     0	 -                                                                                                   
J011818+025805      	 -.-.-     	 UVES      	   0.667	    1721	    2000	   0.416	   0.645	     4	 49800	     0	 -                                                                                                   
J011852+032049      	 -.-.-     	 UVES      	   4.230	    5400	    6273	   3.442	   4.160	    14	 47800	     0	 -                                                                                                   
J012031-270124      	 -.-.-     	 UVES      	   0.559	    1610	    1870	   0.324	   0.538	     0	     0	     0	 -                                                                                                   
J012101+034412      	 -.-.-     	 UVES      	   0.765	    1822	    2117	   0.499	   0.741	     4	 49800	     0	 -                                                                                                   
J012126+034706      	 -.-.-     	 UVES      	   4.130	    5297	    6153	   3.357	   4.062	    12	 47800	     0	 -                                                                                                   
J012227-042127      	 -.-.-     	 UVES      	   1.965	    3062	    3556	   1.518	   1.925	     4	 49800	     0	 -                                                                                                   
J012303-005818      	 -.-.-     	 UVES      	   1.549	    2632	    3057	   1.165	   1.515	     0	     0	     0	 -                                                                                                   
J012403+004432      	 -.-.-     	 UVES      	   3.836	    4993	    5801	   3.108	   3.772	    47	 47800	     0	 -                                                                                                   
J012417-374423      	 -.-.-     	 UVES      	   2.200	    3304	    3838	   1.718	   2.157	    37	 49800	     0	 -                                                                                                   
J012517-001828      	 -.-.-     	 UVES      	   2.274	    3381	    3927	   1.781	   2.230	    10	 49800	     0	 -                                                                                                   
J012528-000555      	 -.-.-     	 UVES      	   1.076	    2144	    2490	   0.763	   1.048	     4	 49800	     0	 -                                                                                                   
J012550-535225      	 -.-.-     	 UVES      	   3.180	    4316	    5014	   2.550	   3.124	    24	 59800	     0	 -                                                                                                   
J012944-403346      	 -.-.-     	 UVES      	   0.513	    1562	    1815	   0.285	   0.493	    17	 49800	     0	 -                                                                                                   
J013105-213446      	 -.-.-     	 UVES      	   1.900	    2994	    3478	   1.463	   1.861	    42	 48300	     0	 -                                                                                                   
J013233+011607      	 -.-.-     	 UVES      	   1.790	    2881	    3346	   1.370	   1.753	     0	     0	     0	 -                                                                                                   
J013243-165448      	 -.-.-     	 UVES      	   1.020	    2086	    2423	   0.716	   0.993	     7	 49800	     0	 -                                                                                                   
J013301-400628      	 -.-.-     	 UVES      	   3.023	    4154	    4825	   2.417	   2.969	    17	 49800	     0	 -                                                                                                   
J013340+040059      	 -.-.-     	 UVES      	   4.172	    5340	    6204	   3.393	   4.103	    22	 52400	     0	 -                                                                                                   
