name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J094438+194111      	 -.-.-     	 UVES      	   3.186	    4322	    5021	   2.555	   3.130	     5	 49800	     0	 -                                                                                                   
J094632+125147      	 -.-.-     	 UVES      	   3.305	    4445	    5164	   2.657	   3.248	     8	 49800	     0	 -                                                                                                   
J095352+080103      	 -.-.-     	 UVES      	   1.731	    2820	    3276	   1.320	   1.695	     4	 41500	     0	 -                                                                                                   
J095355-050418      	 -.-.-     	 UVES      	   4.369	    5544	    6440	   3.560	   4.297	    34	 47800	     0	 -                                                                                                   
J095456+174331      	 -.-.-     	 UVES      	   1.476	    2557	    2970	   1.103	   1.443	    27	 49800	     0	 -                                                                                                   
J095500-013006      	 -.-.-     	 UVES      	   4.426	    5603	    6508	   3.609	   4.354	    69	 47800	     0	 -                                                                                                   
J100523+115712      	 -.-.-     	 UVES      	   1.664	    2751	    3195	   1.263	   1.628	     3	 41500	     0	 -                                                                                                   
J100731-333305      	 -.-.-     	 UVES      	   1.837	    2929	    3403	   1.410	   1.799	     2	 49800	     0	 -                                                                                                   
J100930-002619      	 -.-.-     	 UVES      	   1.244	    2317	    2692	   0.906	   1.214	    15	 49800	     0	 -                                                                                                   
J101155+294141      	 -.-.-     	 UVES      	   2.640	    3759	    4366	   2.092	   2.591	    36	 47800	     0	 -                                                                                                   
J102444+191220      	 -.-.-     	 UVES      	   0.828	    1888	    2193	   0.553	   0.804	     2	 49800	     0	 -                                                                                                   
J102837-010027      	 -.-.-     	 UVES      	   1.532	    2614	    3037	   1.151	   1.498	     8	 49800	     0	 -                                                                                                   
J103842-272912      	 -.-.-     	 UVES      	   3.090	    4223	    4906	   2.474	   3.035	    13	 49800	     0	 -                                                                                                   
J103909-231326      	 -.-.-     	 UVES      	   3.130	    4264	    4954	   2.508	   3.075	    39	 49800	     0	 -                                                                                                   
J103921-271916      	 -.-.-     	 UVES      	   2.230	    3335	    3874	   1.743	   2.187	    31	 49800	     0	 -                                                                                                   
J104032-272749      	 -.-.-     	 UVES      	   2.320	    3428	    3982	   1.820	   2.276	    28	 49800	     0	 -                                                                                                   
J104033-272308      	 -.-.-     	 UVES      	   1.937	    3033	    3523	   1.495	   1.898	     0	     0	     0	 -                                                                                                   
J104040-272437      	 -.-.-     	 UVES      	   2.460	    3573	    4150	   1.939	   2.414	     9	 31000	     0	 -                                                                                                   
J104117+061016      	 -.-.-     	 UVES      	   1.270	    2344	    2723	   0.928	   1.240	     4	 49800	     0	 -                                                                                                   
J104244+120331      	 -.-.-     	 UVES      	   1.030	    2096	    2435	   0.724	   1.003	     2	 49800	     0	 -                                                                                                   
J104252+011736      	 -.-.-     	 UVES      	   2.440	    3552	    4126	   1.922	   2.394	     7	 49800	     0	 -                                                                                                   
J104540-101812      	 -.-.-     	 UVES      	   1.261	    2335	    2712	   0.920	   1.231	     9	 49800	     0	 -                                                                                                   
J104631+052009      	 -.-.-     	 UVES      	   1.425	    2504	    2909	   1.060	   1.393	     8	 49800	     0	 -                                                                                                   
J104642+053107      	 -.-.-     	 UVES      	   2.700	    3820	    4438	   2.143	   2.651	     0	     0	     0	 -                                                                                                   
J104656+054150      	 -.-.-     	 UVES      	   1.233	    2306	    2678	   0.897	   1.203	    16	 49800	     0	 -                                                                                                   
J104733+052454      	 -.-.-     	 UVES      	   1.334	    2410	    2800	   0.982	   1.303	    19	 49800	     0	 -                                                                                                   
J104800+052209      	 -.-.-     	 UVES      	   1.231	    2304	    2676	   0.895	   1.201	    11	 49800	     0	 -                                                                                                   
J105440-002048      	 -.-.-     	 UVES      	   1.020	    2086	    2423	   0.716	   0.993	    10	 49800	     0	 -                                                                                                   
J105744+062914      	 -.-.-     	 UVES      	   3.147	    4282	    4974	   2.522	   3.092	     6	 49800	     0	 -                                                                                                   
J105800-302455      	 -.-.-     	 UVES      	   2.523	    3638	    4226	   1.992	   2.476	     4	 49800	     0	 -                                                                                                   
J105817+195150      	 -.-.-     	 UVES      	   1.115	    2184	    2537	   0.796	   1.087	     3	 49800	     0	 -                                                                                                   
J110325-264515      	 -.-.-     	 UVES      	   2.145	    3247	    3772	   1.671	   2.103	    43	 54500	     0	 -                                                                                                   
J110729+004811      	 -.-.-     	 UVES      	   1.390	    2468	    2867	   1.030	   1.358	     9	 49800	     0	 -                                                                                                   
J110855+120953      	 -.-.-     	 UVES      	   3.672	    4824	    5604	   2.968	   3.610	    53	 41100	     0	 -                                                                                                   
J111109+144238      	 -.-.-     	 UVES      	   3.100	    4233	    4918	   2.482	   3.045	     5	 49800	     0	 -                                                                                                   
J111113-080401      	 -.-.-     	 UVES      	   3.922	    5082	    5904	   3.181	   3.856	    25	 47800	     0	 -                                                                                                   
J111119+133603      	 -.-.-     	 UVES      	   3.475	    4621	    5368	   2.801	   3.415	     6	 49800	     0	 -                                                                                                   
J111350-153333      	 -.-.-     	 UVES      	   3.370	    4512	    5242	   2.712	   3.312	    42	 49800	     1	 +                                                                                                   
J111358+144226      	 -.-.-     	 UVES      	   0.866	    1927	    2238	   0.585	   0.841	     5	 49800	     0	 -                                                                                                   
J111654-221652      	 -.-.-     	 UVES      	   2.282	    3389	    3937	   1.788	   2.238	     0	     0	     0	 -                                                                                                   
J111727-083857      	 -.-.-     	 UVES      	   4.495	    5674	    6591	   3.667	   4.422	    19	 47800	     0	 -                                                                                                   
J112010-134625      	 -.-.-     	 UVES      	   3.958	    5119	    5947	   3.211	   3.892	    46	 47800	     0	 -                                                                                                   
J112229+180526      	 -.-.-     	 UVES      	   1.041	    2107	    2448	   0.734	   1.014	     2	 49800	     0	 -                                                                                                   
J112442-170517      	 -.-.-     	 UVES      	   2.400	    3511	    4078	   1.888	   2.355	    230	 49000	     0	 +                                                                                                   
J112910-231628      	 -.-.-     	 UVES      	   1.019	    2085	    2422	   0.715	   0.992	     4	 49800	     0	 -                                                                                                   
J112932+020422      	 -.-.-     	 UVES      	   1.192	    2263	    2629	   0.862	   1.163	     7	 41500	     0	 -                                                                                                   
J113007-144927      	 -.-.-     	 UVES      	   1.184	    2255	    2620	   0.855	   1.155	    37	 49800	     0	 -                                                                                                   
J113010+041128      	 -.-.-     	 UVES      	   3.930	    5091	    5913	   3.187	   3.864	     0	     0	     0	 -                                                                                                   
J114254+265457      	 -.-.-     	 UVES      	   2.625	    3743	    4348	   2.079	   2.577	    115	 59800	     0	 +                                                                                                   
J114608-244732      	 -.-.-     	 UVES      	   1.940	    3036	    3526	   1.497	   1.901	     7	 49800	     0	 -                                                                                                   
J115122+020426      	 -.-.-     	 UVES      	   2.397	    3508	    4075	   1.885	   2.352	    19	 41500	     0	 -                                                                                                   
J115153+150945      	 -.-.-     	 UVES      	   3.084	    4217	    4899	   2.469	   3.030	     6	 49800	     0	 -                                                                                                   
J115411+063427      	 -.-.-     	 UVES      	   2.755	    3877	    4504	   2.189	   2.705	    28	 49800	     0	 -                                                                                                   
J115538+053050      	 -.-.-     	 UVES      	   3.463	    4608	    5353	   2.791	   3.403	    23	 49800	     0	 -                                                                                                   
J115906+133737      	 -.-.-     	 UVES      	   4.050	    5214	    6057	   3.289	   3.983	    19	 47800	     0	 -                                                                                                   
J115944+011206      	 -.-.-     	 UVES      	   2.002	    3100	    3601	   1.550	   1.962	    17	 49800	     0	 -                                                                                                   
J120044-185944      	 -.-.-     	 UVES      	   2.448	    3560	    4136	   1.929	   2.402	    40	 49800	     0	 -                                                                                                   
J120342+102831      	 -.-.-     	 UVES      	   1.894	    2988	    3471	   1.458	   1.855	    17	 41500	     0	 -                                                                                                   
J120523-074232      	 -.-.-     	 UVES      	   4.695	    5880	    6831	   3.837	   4.619	    90	 47800	     0	 -                                                                                                   
J120550+020131      	 -.-.-     	 UVES      	   2.132	    3234	    3757	   1.660	   2.090	     9	 49800	     0	 -                                                                                                   
J120917+113830      	 -.-.-     	 UVES      	   3.103	    4237	    4921	   2.485	   3.048	     4	 49800	     0	 -                                                                                                   
J121134+090220      	 -.-.-     	 UVES      	   3.287	    4427	    5142	   2.641	   3.230	    19	 49800	     0	 -                                                                                                   
J121140+103002      	 -.-.-     	 UVES      	   2.191	    3295	    3827	   1.710	   2.148	    13	 49800	     0	 -                                                                                                   
J121303+171423      	 -.-.-     	 UVES      	   2.569	    3685	    4281	   2.031	   2.521	    28	 49800	     0	 -                                                                                                   
J121332+130720      	 -.-.-     	 UVES      	   1.141	    2211	    2568	   0.819	   1.112	     1	 49800	     0	 -                                                                                                   
J121509+330955      	 -.-.-     	 UVES      	   0.615	    1668	    1937	   0.372	   0.593	    31	 49800	     0	 -                                                                                                   
J122040+092326      	 -.-.-     	 UVES      	   3.140	    4275	    4966	   2.516	   3.085	    16	 49800	     0	 -                                                                                                   
J122310-181642      	 -.-.-     	 UVES      	   2.160	    3263	    3790	   1.684	   2.118	    10	 49800	     0	 -                                                                                                   
J122602+132114      	 -.-.-     	 UVES      	   3.543	    4691	    5449	   2.859	   3.482	    30	 47800	     0	 -                                                                                                   
J122607+173649      	 -.-.-     	 UVES      	   2.942	    4070	    4728	   2.348	   2.889	    30	 49800	     0	 -                                                                                                   
J122848-010414      	 -.-.-     	 UVES      	   2.647	    3766	    4374	   2.098	   2.598	    14	 49800	     0	 -                                                                                                   
J123055-113909      	 -.-.-     	 UVES      	   3.528	    4675	    5431	   2.846	   3.468	    49	 47800	     0	 -                                                                                                   
J123200-022404      	 -.-.-     	 UVES      	   1.043	    2110	    2450	   0.735	   1.016	    23	 49800	     0	 -                                                                                                   
J123313-102518      	 -.-.-     	 UVES      	   1.931	    3026	    3516	   1.490	   1.892	     4	 49800	     0	 -                                                                                                   
J123437+075843      	 -.-.-     	 UVES      	   2.578	    3694	    4292	   2.039	   2.530	    28	 49800	     0	 -                                                                                                   
J124020+145535      	 -.-.-     	 UVES      	   3.105	    4239	    4924	   2.487	   3.050	     7	 49800	     0	 -                                                                                                   
J124524-000938      	 -.-.-     	 UVES      	   2.092	    3193	    3709	   1.626	   2.051	    11	 49800	     0	 -                                                                                                   
J124604-073046      	 -.-.-     	 UVES      	   1.286	    2360	    2742	   0.942	   1.256	     9	 49800	     0	 -                                                                                                   
J124646-254749      	 -.-.-     	 UVES      	   0.633	    1686	    1959	   0.387	   0.611	     1	 49800	     0	 -                                                                                                   
J124913-055919      	 -.-.-     	 UVES      	   2.247	    3353	    3895	   1.758	   2.204	    14	 54500	     0	 -                                                                                                   
J124924-023339      	 -.-.-     	 UVES      	   2.120	    3222	    3742	   1.650	   2.078	    22	 49800	     0	 -                                                                                                   
J124957-015928      	 -.-.-     	 UVES      	   3.665	    4817	    5595	   2.962	   3.603	   80	 47800	     0	 +                                                                                                   
J125151-022333      	 -.-.-     	 UVES      	   1.192	    2263	    2629	   0.862	   1.163	     5	 49800	     0	 -                                                                                                   
J125212-132449      	 -.-.-     	 UVES      	   0.014	    1047	    1216	  -0.139	   0.000	    27	 48300	     0	 -                                                                                                   
J125316+114720      	 -.-.-     	 UVES      	   3.285	    4425	    5140	   2.640	   3.228	    11	 49800	     0	 -                                                                                                   
J125438+114105      	 -.-.-     	 UVES      	   0.873	    1934	    2247	   0.591	   0.848	     4	 49800	     0	 -                                                                                                   
J125838-180002      	 -.-.-     	 UVES      	   1.956	    3052	    3546	   1.511	   1.917	     4	 49800	     0	 -                                                                                                   
J130753+064213      	 -.-.-     	 UVES      	   0.601	    1653	    1920	   0.360	   0.580	     3	 49800	     0	 -                                                                                                   
J131726-023150      	 -.-.-     	 UVES      	   1.090	    2158	    2507	   0.775	   1.062	     5	 49800	     0	 -                                                                                                   
J131815-025919      	 -.-.-     	 UVES      	   0.747	    1804	    2095	   0.484	   0.724	     2	 49800	     0	 -                                                                                                   
J131822-025842      	 -.-.-     	 UVES      	   0.724	    1780	    2068	   0.464	   0.701	     4	 49800	     0	 -                                                                                                   
J131833-025140      	 -.-.-     	 UVES      	   1.457	    2537	    2947	   1.087	   1.424	     2	 49800	     0	 -                                                                                                   
J131938-004940      	 -.-.-     	 UVES      	   0.891	    1953	    2268	   0.606	   0.866	     2	 49800	     0	 -                                                                                                   
J131952-022543      	 -.-.-     	 UVES      	   2.002	    3100	    3601	   1.550	   1.962	     5	 49800	     0	 -                                                                                                   
J132029-052335      	 -.-.-     	 UVES      	   3.700	    4853	    5637	   2.992	   3.637	    54	 47800	     0	 -                                                                                                   
J132113-263544      	 -.-.-     	 UVES      	   2.027	    3126	    3631	   1.571	   1.987	     2	 49800	     0	 -                                                                                                   
J132139-004151      	 -.-.-     	 UVES      	   3.091	    4224	    4907	   2.475	   3.036	     0	     0	     0	 -                                                                                                   
J132323-002155      	 -.-.-     	 UVES      	   1.390	    2468	    2867	   1.030	   1.358	     8	 49800	     0	 -                                                                                                   
J132654-050058      	 -.-.-     	 UVES      	   1.882	    2976	    3457	   1.448	   1.844	    15	 49800	     0	 -                                                                                                   
J133007-205616      	 -.-.-     	 UVES      	   1.169	    2240	    2602	   0.842	   1.140	     8	 49800	     0	 -                                                                                                   
J133051-252219      	 -.-.-     	 UVES      	   3.949	    5110	    5936	   3.204	   3.883	    17	 47800	     0	 -                                                                                                   
J133335+164903      	 -.-.-     	 UVES      	   2.089	    3190	    3705	   1.624	   2.048	    51	 52800	     0	 -                                                                                                   
J133807-062710      	 -.-.-     	 UVES      	   0.625	    1678	    1949	   0.380	   0.603	     1	 49800	     0	 -                                                                                                   
J133941+054822      	 -.-.-     	 UVES      	   2.982	    4112	    4776	   2.382	   2.929	    11	 49800	     0	 -                                                                                                   
J134002+110630      	 -.-.-     	 UVES      	   2.919	    4047	    4701	   2.329	   2.867	    21	 41500	     0	 -                                                                                                   
J134145-003631      	 -.-.-     	 UVES      	   2.183	    3287	    3818	   1.704	   2.141	     0	     0	     0	 -                                                                                                   
J134258-135559      	 -.-.-     	 UVES      	   3.190	    4326	    5026	   2.559	   3.134	    35	 49800	     0	 -                                                                                                   
J134427-103541      	 -.-.-     	 UVES      	   2.134	    3236	    3759	   1.662	   2.092	    39	 52800	     0	 -                                                                                                   
J135038-251216      	 -.-.-     	 UVES      	   2.534	    3649	    4239	   2.002	   2.487	    47	 55800	     0	 -                                                                                                   
J135256-441240      	 -.-.-     	 UVES      	   0.050	    1084	    1259	  -0.108	   0.036	     9	 59800	     0	 -                                                                                                   
J135334-031022      	 -.-.-     	 UVES      	   3.005	    4135	    4804	   2.402	   2.952	     5	 49800	     0	 -                                                                                                   
J135646-110128      	 -.-.-     	 UVES      	   3.000	    4130	    4798	   2.397	   2.947	    28	 49800	     0	 -                                                                                                   
J135704+191907      	 -.-.-     	 UVES      	   0.720	    1776	    2063	   0.461	   0.697	     6	 49800	     0	 -                                                                                                   
J140445-013021      	 -.-.-     	 UVES      	   2.518	    3633	    4220	   1.988	   2.471	     0	     0	     0	 -                                                                                                   
J141217+091624      	 -.-.-     	 UVES      	   2.849	    3974	    4617	   2.269	   2.798	    22	 49800	     0	 -                                                                                                   
J141520-095558      	 -.-.-     	 UVES      	   2.001	    3099	    3600	   1.549	   1.961	     3	 49800	     0	 -                                                                                                   
J141546+112943      	 -.-.-     	 UVES      	   2.560	    3676	    4270	   2.024	   2.513	    17	 59800	     0	 -                                                                                                   
J141803+170324      	 -.-.-     	 UVES      	   0.822	    1881	    2185	   0.548	   0.798	     4	 49800	     0	 -                                                                                                   
J141908+062834      	 -.-.-     	 UVES      	   1.437	    2516	    2923	   1.070	   1.405	     3	 37900	     0	 -                                                                                                   
J142107-064356      	 -.-.-     	 UVES      	   3.689	    4842	    5624	   2.983	   3.626	     0	     0	     0	 -                                                                                                   
J142249-272756      	 -.-.-     	 UVES      	   0.985	    2050	    2381	   0.686	   0.959	     6	 49800	     0	 -                                                                                                   
J142253-000149      	 -.-.-     	 UVES      	   1.083	    2151	    2498	   0.769	   1.055	     6	 41500	     0	 -                                                                                                   
J142330+115951      	 -.-.-     	 UVES      	   1.613	    2698	    3134	   1.219	   1.578	     3	 49800	     0	 -                                                                                                   
J142738-120349      	 -.-.-     	 UVES      	   0.806	    1865	    2166	   0.534	   0.782	     3	 49800	     0	 -                                                                                                   
J142756-420619      	 -.-.-     	 UVES      	   1.522	    2604	    3025	   1.142	   1.488	     3	 59800	     0	 -                                                                                                   
J142906+011705      	 -.-.-     	 UVES      	   0.086	    1121	    1303	  -0.078	   0.072	    12	 13200	     0	 -                                                                                                   
J143040+014939      	 -.-.-     	 UVES      	   2.121	    3223	    3744	   1.651	   2.079	     6	 41500	     0	 -                                                                                                   
J143229-010614      	 -.-.-     	 UVES      	   2.076	    3176	    3690	   1.613	   2.035	     5	 49800	     0	 -                                                                                                   
J143229-010616      	 -.-.-     	 UVES      	   2.087	    3188	    3703	   1.622	   2.046	     7	 49800	     0	 -                                                                                                   
J143649-161341      	 -.-.-     	 UVES      	   0.143	    1180	    1371	  -0.029	   0.128	     7	 13200	     0	 -                                                                                                   
J143907-010616      	 -.-.-     	 UVES      	   1.819	    2911	    3381	   1.394	   1.781	     2	 48300	     0	 -                                                                                                   
J143912+111740      	 -.-.-     	 UVES      	   2.585	    3702	    4300	   2.045	   2.537	    19	 49800	     0	 -                                                                                                   
J144104+044348      	 -.-.-     	 UVES      	   1.113	    2182	    2534	   0.795	   1.085	     5	 49800	     0	 -                                                                                                   
J144231+013734      	 -.-.-     	 UVES      	   2.270	    3376	    3922	   1.777	   2.226	     5	 49800	     0	 -                                                                                                   
J144331+272436      	 -.-.-     	 UVES      	   4.430	    5607	    6513	   3.612	   4.358	   44	 47800	     2	 +, check continuum                                                                                                   
J144653+011355      	 -.-.-     	 UVES      	   2.216	    3321	    3857	   1.732	   2.173	    22	 49800	     0	 -                                                                                                   
J145102-232930      	 -.-.-     	 UVES      	   2.215	    3320	    3856	   1.731	   2.172	    42	 59800	     0	 -                                                                                                   
J145147-151220      	 -.-.-     	 UVES      	   4.763	    5951	    6912	   3.895	   4.686	   123	 47800	     0	 -                                                                                                   
J145333+002943      	 -.-.-     	 UVES      	   1.300	    2375	    2759	   0.954	   1.269	     0	     0	     0	 -                                                                                                   
J145418+121053      	 -.-.-     	 UVES      	   3.252	    4390	    5100	   2.612	   3.195	    10	 49800	     0	 -                                                                                                   
J145641-061743      	 -.-.-     	 UVES      	   1.249	    2322	    2698	   0.910	   1.219	     7	 49800	     0	 -                                                                                                   
J151053-054307      	 -.-.-     	 UVES      	   1.185	    2256	    2621	   0.856	   1.156	     3	 49800	     0	 -                                                                                                   
J151352+085555      	 -.-.-     	 UVES      	   2.901	    4028	    4679	   2.313	   2.849	    40	 49800	     0	 -                                                                                                   
J154049+144745      	 -.-.-     	 UVES      	   0.605	    1657	    1925	   0.363	   0.584	     0	     0	     0	 -                                                                                                   
J155035+052710      	 -.-.-     	 UVES      	   1.417	    2496	    2899	   1.053	   1.385	     2	 49800	     0	 -                                                                                                   
J155658-791404      	 -.-.-     	 UVES      	   0.152	    1190	    1382	  -0.022	   0.137	     0	     0	     0	 -                                                                                                   
J160457+220300      	 -.-.-     	 UVES      	   1.979	    3076	    3573	   1.530	   1.939	     5	 49800	     0	 -                                                                                                   
J160501-011220      	 -.-.-     	 UVES      	   4.922	    6115	    7103	   4.030	   4.843	     0	     0	     0	 -                                                                                                   
J161749+024643      	 -.-.-     	 UVES      	   1.339	    2415	    2806	   0.987	   1.308	     4	 49800	     0	 -                                                                                                   
J162116-004250      	 -.-.-     	 UVES      	   3.703	    4856	    5641	   2.995	   3.640	    90	 47800	     1	 +                                                                                                   
J162439+234512      	 -.-.-     	 UVES      	   0.927	    1990	    2311	   0.637	   0.901	    10	 49800	     0	 -                                                                                                   
J163145+115603      	 -.-.-     	 UVES      	   1.783	    2874	    3338	   1.364	   1.746	    12	 49800	     0	 -                                                                                                   
J172323+224357      	 -.-.-     	 UVES      	   4.520	    5700	    6621	   3.689	   4.446	    29	 47800	     0	 -                                                                                                   
J173302-130449      	 -.-.-     	 UVES      	   0.902	    1964	    2281	   0.616	   0.877	     2	 59800	     0	 -                                                                                                   
J174358-035004      	 -.-.-     	 UVES      	   1.054	    2121	    2464	   0.745	   1.027	     3	 59800	     0	 -                                                                                                   
J193957-100241      	 -.-.-     	 UVES      	   3.787	    4943	    5742	   3.066	   3.723	    105	 47800	     0	 +                                                                                                   
J194025-690756      	 -.-.-     	 UVES      	   3.154	    4289	    4983	   2.528	   3.099	     0	     0	     0	 -                                                                                                   
J200324-325144      	 -.-.-     	 UVES      	   3.773	    4928	    5725	   3.054	   3.709	   132	 47800	     1	 +                                                                                                   
J201717-401924      	 -.-.-     	 UVES      	   4.131	    5298	    6154	   3.358	   4.063	    14	 47800	     0	 -                                                                                                   
J204719-163905      	 -.-.-     	 UVES      	   1.932	    3027	    3517	   1.490	   1.893	    18	 49800	     0	 -                                                                                                   
J210244-355307      	 -.-.-     	 UVES      	   3.090	    4223	    4906	   2.474	   3.035	    20	 49800	     0	 -                                                                                                   
J210757-062010      	 -.-.-     	 UVES      	   0.642	    1695	    1970	   0.395	   0.620	    19	 49800	     0	 -                                                                                                   
J211654-433234      	 -.-.-     	 UVES      	   2.053	    3152	    3662	   1.593	   2.012	     9	 47600	     0	 -                                                                                                   
J211719-433424      	 -.-.-     	 UVES      	   2.041	    3140	    3648	   1.583	   2.000	     8	 45500	     0	 -                                                                                                   
J211739-433537      	 -.-.-     	 UVES      	   2.050	    3149	    3658	   1.591	   2.009	     4	 45500	     0	 -                                                                                                   
J211810-301911      	 -.-.-     	 UVES      	   0.979	    2043	    2374	   0.681	   0.953	     4	 49800	     0	 -                                                                                                   
J211927-353740      	 -.-.-     	 UVES      	   2.341	    3450	    4007	   1.838	   2.296	    14	 49800	     0	 -                                                                                                   
J212912-153841      	 -.-.-     	 UVES      	   3.268	    4407	    5119	   2.625	   3.211	    156	 49800	     1	 +                                                                                                   
J213302-464026      	 -.-.-     	 UVES      	   2.230	    3335	    3874	   1.743	   2.187	     5	 49800	     0	 -                                                                                                   
J213314-464030      	 -.-.-     	 UVES      	   2.204	    3308	    3843	   1.721	   2.161	     8	 49800	     0	 -                                                                                                   
J213605-430818      	 -.-.-     	 UVES      	   2.420	    3531	    4102	   1.905	   2.374	    21	 55800	     0	 -                                                                                                   
J213638+004154      	 -.-.-     	 UVES      	   1.940	    3036	    3526	   1.497	   1.901	     5	 49800	     0	 -                                                                                                   
J214159-441325      	 -.-.-     	 UVES      	   3.170	    4306	    5002	   2.542	   3.114	    42	 49800	     0	 -                                                                                                   
J214222-441929      	 -.-.-     	 UVES      	   3.220	    4357	    5062	   2.584	   3.164	     8	 41500	     0	 -                                                                                                   
J214225-442018      	 -.-.-     	 UVES      	   3.230	    4368	    5074	   2.593	   3.174	    24	 41500	     0	 -                                                                                                   
J214304-445035      	 -.-.-     	 UVES      	   3.060	    4192	    4870	   2.448	   3.006	     4	 41500	     0	 -                                                                                                   
J214622-152543      	 -.-.-     	 UVES      	   0.701	    1756	    2040	   0.445	   0.678	     2	 49800	     0	 -                                                                                                   
J214805+065738      	 -.-.-     	 UVES      	   0.990	    2055	    2387	   0.690	   0.963	     8	 64000	     0	 -                                                                                                   
J215155-302753      	 -.-.-     	 UVES      	   2.345	    3454	    4012	   1.841	   2.300	    11	 49800	     0	 -                                                                                                   
J215324+053618      	 -.-.-     	 UVES      	   1.967	    3064	    3559	   1.520	   1.927	     4	 49800	     0	 -                                                                                                   
J215406+033540      	 -.-.-     	 UVES      	   4.363	    5538	    6433	   3.555	   4.291	    11	 47800	     0	 -                                                                                                   
J215501-092224      	 -.-.-     	 UVES      	   0.190	    1229	    1427	   0.011	   0.174	    27	 13200	     0	 -                                                                                                   
J215502+135825      	 -.-.-     	 UVES      	   4.256	    5427	    6304	   3.464	   4.186	    22	 47800	     0	 -                                                                                                   
J215806-150109      	 -.-.-     	 UVES      	   0.672	    1726	    2005	   0.420	   0.650	     2	 49800	     0	 -                                                                                                   
J220734-403655      	 -.-.-     	 UVES      	   3.155	    4290	    4984	   2.529	   3.100	    16	 49800	     0	 -                                                                                                   
J220743-534633      	 -.-.-     	 UVES      	   1.206	    2278	    2646	   0.874	   1.177	     5	 49800	     0	 -                                                                                                   
J220852-194359      	 -.-.-     	 UVES      	   2.558	    3674	    4268	   2.022	   2.511	    43	 55800	     0	 -                                                                                                   
J221511-004550      	 -.-.-     	 UVES      	   1.476	    2557	    2970	   1.103	   1.443	    13	 49800	     0	 -                                                                                                   
J221527-161133      	 -.-.-     	 UVES      	   3.990	    5152	    5985	   3.238	   3.923	    11	 47800	     0	 -                                                                                                   
J221531-174408      	 -.-.-     	 UVES      	   2.217	    3322	    3859	   1.732	   2.174	    21	 49800	     0	 -                                                                                                   
J221651-671443      	 -.-.-     	 UVES      	   4.469	    5647	    6560	   3.645	   4.396	    35	 47800	     0	 -                                                                                                   
J221653-445156      	 -.-.-     	 UVES      	   0.136	    1173	    1363	  -0.035	   0.121	    13	 13200	     0	 -                                                                                                   
J221852-033537      	 -.-.-     	 UVES      	   0.901	    1963	    2280	   0.615	   0.876	     3	 49800	     0	 -                                                                                                   
J222006-280323      	 -.-.-     	 UVES      	   2.406	    3517	    4085	   1.893	   2.361	    61	 49800	     0	 +\-                                                                                                   
J222540-392436      	 -.-.-     	 UVES      	   2.180	    3284	    3814	   1.701	   2.138	     8	 59800	     0	 -                                                                                                   
J222547-045701      	 -.-.-     	 UVES      	   1.404	    2482	    2884	   1.042	   1.372	     2	 49800	     0	 -                                                                                                   
J222756-224302      	 -.-.-     	 UVES      	   1.891	    2985	    3468	   1.456	   1.852	    74	 49800	     0	 +                                                                                                   
J222826-400957      	 -.-.-     	 UVES      	   2.020	    3118	    3622	   1.565	   1.980	     5	 59800	     0	 -                                                                                                   
J222940-083254      	 -.-.-     	 UVES      	   1.560	    2643	    3071	   1.174	   1.526	     5	 49800	     0	 -                                                                                                   
J223235+024755      	 -.-.-     	 UVES      	   2.150	    3253	    3778	   1.676	   2.108	    17	 49800	     0	 -                                                                                                   
J223236+114350      	 -.-.-     	 UVES      	   1.037	    2103	    2443	   0.730	   1.010	     4	 49800	     0	 -                                                                                                   
J223408+000001      	 -.-.-     	 UVES      	   3.025	    4156	    4828	   2.419	   2.971	    38	 49800	     0	 -                                                                                                   
J223813-324823      	 -.-.-     	 UVES      	   2.850	    3975	    4618	   2.270	   2.799	    16	 59800	     0	 -                                                                                                   
J223850-295300      	 -.-.-     	 UVES      	   2.387	    3497	    4063	   1.877	   2.342	     6	 45500	     0	 -                                                                                                   
J223922-294947      	 -.-.-     	 UVES      	   1.849	    2942	    3417	   1.420	   1.811	    11	 45500	     0	 -                                                                                                   
J223938-295450      	 -.-.-     	 UVES      	   1.907	    3002	    3487	   1.469	   1.868	     9	 45500	     0	 -                                                                                                   
J223941-294954      	 -.-.-     	 UVES      	   2.102	    3203	    3721	   1.635	   2.061	     8	 47600	     0	 -                                                                                                   
J223948-294748      	 -.-.-     	 UVES      	   2.068	    3168	    3680	   1.606	   2.027	     9	 45500	     0	 -                                                                                                   
J223951-294836      	 -.-.-     	 UVES      	   2.121	    3223	    3744	   1.651	   2.079	    10	 45500	     0	 -                                                                                                   
J223953-055220      	 -.-.-     	 UVES      	   4.558	    5739	    6667	   3.721	   4.484	    26	 47800	     0	 -                                                                                                   
J224618-120651      	 -.-.-     	 UVES      	   0.632	    1685	    1958	   0.386	   0.610	     5	 49800	     0	 -                                                                                                   
J224708-601545      	 -.-.-     	 UVES      	   3.005	    4135	    4804	   2.402	   2.952	    94	 49800	     1	 +                                                                                                   
J224752-123719      	 -.-.-     	 UVES      	   1.892	    2986	    3469	   1.456	   1.853	    11	 49800	     0	 -                                                                                                   
J224931-441730      	 -.-.-     	 UVES      	   2.180	    3284	    3814	   1.701	   2.138	    13	 59800	     0	 -                                                                                                   
