 4512.5775       1.0000       0.0279
 4512.5971       0.4154       0.0289
 4512.6167       0.4241       0.0290
 4512.6362       0.4724       0.0294
 4512.6558       0.4409       0.0288
 4512.6754       0.5041       0.0298
 4512.6949       0.5436       0.0301
 4512.7145       0.5097       0.0291
 4512.7341       0.5268       0.0292
 4512.7536       0.5354       0.0238
 4512.7732       0.5050       0.0236
 4512.7928       0.5419       0.0244
 4512.8124       0.5877       0.0253
 4512.8319       0.5732       0.0254
 4512.8515       0.6194       0.0260
 4512.8711       0.5930       0.0258
 4512.8906       0.5947       0.0260
 4512.9102       0.6623       0.0266
 4512.9298       0.6588       0.0263
 4512.9493       0.6445       0.0263
 4512.9689       0.6710       0.0329
 4512.9885       0.6910       0.0332
 4513.0081       0.7043       0.0334
 4513.0276       0.6990       0.0334
 4513.0472       0.7135       0.0336
 4513.0668       0.7044       0.0332
 4513.0863       0.7715       0.0336
 4513.1059       0.8022       0.0340
 4513.1255       0.7622       0.0336
 4513.1450       0.7658       0.0336
 4513.1646       0.7484       0.0337
 4513.1842       0.7555       0.0338
 4513.2037       0.7978       0.0346
 4513.2233       0.8149       0.0351
 4513.2429       0.8525       0.0506
 4513.2625       0.7830       0.0496
 4513.2820       0.8579       0.0508
 4513.3016       0.8835       0.0513
 4513.3212       0.8510       0.0504
 4513.3408       0.8663       0.0503
 4513.3603       0.8971       0.0506
 4513.3799       0.9236       0.0509
 4513.3995       0.8874       0.0355
 4513.4190       0.9493       0.0360
 4513.4386       0.9041       0.0355
 4513.4582       0.8360       0.0345
 4513.4778       0.8939       0.0349
 4513.4973       0.8642       0.0341
 4513.5169       0.8810       0.0347
 4513.5365       0.8903       0.0340
 4513.5560       0.8270       0.0327
 4513.5756       0.8472       0.0268
 4513.5952       0.8526       0.0267
 4513.6148       0.8120       0.0264
 4513.6343       0.8507       0.0273
 4513.6539       0.8227       0.0274
 4513.6735       0.7971       0.0275
 4513.6930       0.8296       0.0280
 4513.7126       0.7988       0.0278
 4513.7322       0.8172       0.0282
 4513.7518       0.7694       0.0278
 4513.7713       0.7239       0.0272
 4513.7909       0.7742       0.0276
 4513.8105       0.7356       0.0270
 4513.8301       0.7405       0.0270
 4513.8496       0.7567       0.0270
 4513.8692       0.7115       0.0266
 4513.8888       0.6636       0.0262
 4513.9083       0.6653       0.0265
 4513.9279       0.6396       0.0263
 4513.9475       0.6565       0.0264
 4513.9671       0.6087       0.0260
 4513.9866       0.6330       0.0262
 4514.0062       0.7074       0.0270
 4514.0258       0.6891       0.0267
 4514.0454       0.6302       0.0259
 4514.0649       0.5846       0.0255
 4514.0845       0.5999       0.0251
 4514.1041       0.6091       0.0254
 4514.1237       0.6774       0.0261
 4514.1432       0.5946       0.0252
 4514.1628       0.6048       0.0254
 4514.1824       0.6211       0.0254
 4514.2020       0.5985       0.0251
 4514.2215       0.5339       0.0246
 4514.2411       0.5593       0.0246
 4514.2607       0.5608       0.0246
 4514.2803       0.5411       0.0242
 4514.2998       0.5494       0.0241
 4514.3194       0.5136       0.0237
 4514.3390       0.5012       0.0240
 4514.3586       0.4438       0.0237
 4514.3781       0.4775       0.0241
 4514.3977       0.4266       0.0235
 4514.4173       0.4998       0.0241
 4514.4369       0.3995       0.0230
 4514.4564       0.3444       0.0223
 4514.4760       0.4083       0.0281
 4514.4956       0.3690       0.0275
 4514.5152       0.3505       0.0270
 4514.5348       0.2900       0.0259
 4514.5543       0.2802       0.0259
 4514.5739       0.3111       0.0263
 4514.5935       0.3467       0.0270
 4514.6131       0.3003       0.0260
 4514.6326       0.2614       0.0254
 4514.6522       0.2740       0.0259
 4514.6718       0.2777       0.0263
 4514.6914       0.2414       0.0257
 4514.7109       0.2579       0.0257
 4514.7305       0.2249       0.0252
 4514.7501       0.2377       0.0249
 4514.7697       0.2456       0.0250
 4514.7893       0.2196       0.0249
 4514.8088       0.2134       0.0250
 4514.8284       0.2117       0.0249
 4514.8480       0.2292       0.0254
 4514.8676       0.2227       0.0203
 4514.8871       0.2466       0.0206
 4514.9067       0.2218       0.0203
 4514.9263       0.2024       0.0201
 4514.9459       0.2436       0.0251
 4514.9655       0.2261       0.0242
 4514.9850       0.2823       0.0250
 4515.0046       0.2858       0.0244
 4515.0242       0.2610       0.0233
 4515.0438       0.3198       0.0241
 4515.0634       0.2582       0.0232
 4515.0829       0.2626       0.0240
 4515.1025       0.2949       0.0254
 4515.1221       0.2725       0.0254
 4515.1417       0.3293       0.0266
 4515.1613       0.3662       0.0273
 4515.1808       0.3650       0.0272
 4515.2004       0.3585       0.0268
 4515.2200       0.3847       0.0266
 4515.2396       0.4266       0.0269
 4515.2591       0.4888       0.0223
 4515.2787       0.5076       0.0223
 4515.2983       0.4905       0.0223
 4515.3179       0.5312       0.0229
 4515.3375       0.5522       0.0234
 4515.3570       0.6179       0.0244
 4515.3766       0.5731       0.0242
 4515.3962       0.6131       0.0250
 4515.4158       0.5866       0.0251
 4515.4354       0.5697       0.0251
 4515.4549       0.5535       0.0249
 4515.4745       0.5554       0.0252
 4515.4941       0.4982       0.0247
 4515.5137       0.5353       0.0250
 4515.5333       0.5021       0.0247
 4515.5529       0.4936       0.0246
 4515.5724       0.5034       0.0245
 4515.5920       0.5107       0.0245
 4515.6116       0.4476       0.0238
 4515.6312       0.4744       0.0239
 4515.6507       0.4063       0.0231
 4515.6703       0.4166       0.0234
 4515.6899       0.3900       0.0231
 4515.7095       0.3801       0.0230
 4515.7291       0.3745       0.0227
 4515.7487       0.4357       0.0237
 4515.7682       0.4814       0.0238
