3.3356024  13.484   0.005  26.092   0.345   60.85  1.170 l  J162116-004250.dat             -                             
3.3369487  13.155   0.008  26.987   0.643   60.85  0.775 b  J162116-004250.dat             -                             
3.3428603  13.075   0.012  24.215   0.847   60.31  1.333 l  J162116-004250.dat             -                             
3.3522312  13.559   0.006  21.267   0.383   59.57  2.629 r  J162116-004250.dat             -                             
3.3555092  13.878   0.004  22.211   0.131   59.93  0.649 b  J162116-004250.dat             -                             
3.3645765  13.464   0.007  24.387   0.532   61.72  2.136 b  J162116-004250.dat             -                             
3.3703007  13.974   0.005  20.235   0.146   61.42  1.159 b  J162116-004250.dat             -                             
3.3892085  13.173   0.010  23.383   0.747   60.65  1.420 b  J162116-004250.dat             -                             
3.3903636  13.532   0.004  16.799   0.201   60.65  1.104 b  J162116-004250.dat             -                             
3.3916486  13.612   0.003  20.575   0.143   60.65  0.467 b  J162116-004250.dat             -                             
3.3929573  13.428   0.007  33.428   0.689   60.65  1.449 b  J162116-004250.dat             -                             
3.4081880  13.544   0.007  30.478   0.572   61.91  2.559 l  J162116-004250.dat             -                             
3.4121205  14.068   0.005  21.888   0.193   61.87  2.038 l  J162116-004250.dat             -                             
3.4142622  13.027   0.026  60.895   4.787   61.82  2.228 c  J162116-004250.dat             -                             
3.4203430  13.316   0.007  22.593   0.477   61.14  1.490 l  J162116-004250.dat             -                             
3.4211755  13.480   0.006  19.858   0.346   61.16  2.141 b  J162116-004250.dat             -                             
3.4242081  13.243   0.007  22.267   0.482   61.09  1.226 l  J162116-004250.dat             -                             
3.4305728  13.615   0.003  26.758   0.204   61.67  0.526 l  J162116-004250.dat             -                             
3.4315721  13.410   0.006  33.506   0.584   61.70  1.078 r  J162116-004250.dat             -                             
3.4336690  13.061   0.012  40.275   1.414   62.14  1.280 c  J162116-004250.dat             -                             
3.4373215  14.417   0.014  23.157   0.263   62.33  2.273 l  J162116-004250.dat             -                             
3.4509549  13.814   0.004  23.047   0.223   62.75  1.975 b  J162116-004250.dat             -                             
3.4630222  13.608   0.003  17.840   0.172   63.46  1.090 b  J162116-004250.dat             -                             
3.4642555  13.413   0.006  26.936   0.424   63.46  1.946 c  J162116-004250.dat             -                             
3.4784050  13.252   0.008  23.402   0.529   63.79  1.444 l  J162116-004250.dat             -                             
3.4951828  13.352   0.006  32.810   0.628   66.65  1.181 b  J162116-004250.dat             -                             
3.4994210  14.008   0.005  21.419   0.101   66.68  0.565 b  J162116-004250.dat             -                             
3.5014922  13.334   0.005  27.500   0.414   66.69  0.826 r  J162116-004250.dat             -                             
3.5027162  13.011   0.011  25.892   0.781   66.84  1.386 c  J162116-004250.dat             -                             
3.5146920  13.402   0.004  26.372   0.248   67.41  0.807 c  J162116-004250.dat             -                             
