2.5570499  13.290   0.004  24.431   0.271   75.66  1.134 c  J000448-415728.dat             -                             
2.5661318  13.128   0.017  71.701   3.626   69.49  0.733 c  J000448-415728.dat             -                             
2.5677016  13.123   0.025  66.363   4.926   69.63  1.129 b  J000448-415728.dat             -                             
2.5764476  13.248   0.007  31.508   0.603   72.42  1.917 c  J000448-415728.dat             -                             
2.6117212  13.363   0.003  24.883   0.198   87.86  0.976 c  J000448-415728.dat             -                             
2.6445041  13.563   0.004  23.803   0.260   95.98  2.476 b  J000448-415728.dat             -                             
2.6527198  13.592   0.004  30.606   0.335   96.01  2.624 b  J000448-415728.dat             -                             
2.6590711  13.335   0.004  24.561   0.297   97.15  1.549 b  J000448-415728.dat             -                             
2.6621902  13.012   0.008  32.281   0.834   97.46  1.037 b  J000448-415728.dat             -                             
2.6664475  13.019   0.008  31.338   0.705   97.75  1.509 c  J000448-415728.dat             -                             
2.6692346  13.212   0.008  28.939   0.706   98.42  2.069 b  J000448-415728.dat             -                             
2.6726693  13.363   0.004  30.482   0.396   98.46  1.621 b  J000448-415728.dat             -                             
2.6741573  13.041   0.019  54.011   2.940   98.48  1.967 l  J000448-415728.dat             -                             
2.6796181  12.993   0.011  40.633   1.355  106.17  1.842 b  J000448-415728.dat             -                             
2.6896243  13.133   0.008  39.622   0.947  114.93  1.951 r  J000448-415728.dat             -                             
2.6913444  13.190   0.005  31.213   0.465  114.87  1.482 r  J000448-415728.dat             -                             
2.6969219  13.036   0.006  42.567   0.703  113.90  0.920 c  J000448-415728.dat             -                             
2.7011228  13.842   0.002  25.998   0.110  113.53  1.304 l  J000448-415728.dat             -                             
2.7079814  12.984   0.005  27.599   0.407   67.15  0.959 c  J000448-415728.dat             -                             
2.7092178  13.235   0.004  27.088   0.318   62.08  2.201 c  J000448-415728.dat             -                             
